Item,Rev,"MACHINE
MMMN","SYSTEM
SSS",N,"EQUIP
EEE",N,"DEVICE
DDD",N,m,N,"Instrument
Tag","Instrument
Type","System
[Machine System]","Machine Location
[Location 1]","Description Line 1
[Location 2]","Description Line 2
[Function]","Description Line 3
[Instrument Type]",DESCRIPTION,Junction Boxes,Destination Panel,I/O TYPE,Scope of Supply,Manufacturer,Model,FIELD,"EXTENSION
BOX",BRACKET,SUPPLY: PCL PACKAGE #,INSTALL: PCL PACKAGE #,Typical Instrument,DRAWINGS,,,,COMMENT 2024-06-26,"BLOCK DIAGRAM CHK
2024-06-26",INSTRUMENT LAYOUT INSERTED,,Cross check with customer spec (Preferred Model) GK 2024-11-15,,,External Docs,,Vendor Drawing Info
157,C,SL3,MEH,,HVAC,1,,,R,4C,SL3-MEH-HVAC1-R4C,Relay ,Shiploader 3,Machine E-House,HVAC Unit 1,Cooling 2 Alarm,Lockout Relay 2,Shiploader 3 Machine E-House HVAC Unit 1 Cooling 2 Alarm Lockout Relay 2,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,C,SL3,MEH,,HVAC,2,,,R,5A,SL3-MEH-HVAC2-R5A,Relay ,Shiploader 3,Machine E-House,HVAC Unit 2,Power On Relay,,Shiploader 3 Machine E-House HVAC Unit 2 Power On Relay,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
160,C,SL3,MEH,,HVAC,2,,,R,5B,SL3-MEH-HVAC2-R5B,Relay ,Shiploader 3,Machine E-House,HVAC Unit 2,Cooling 1 Alarm,Lockout Relay 1,Shiploader 3 Machine E-House HVAC Unit 2 Cooling 1 Alarm Lockout Relay 1,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
161,C,SL3,MEH,,HVAC,2,,,R,5C,SL3-MEH-HVAC2-R5C,Relay ,Shiploader 3,Machine E-House,HVAC Unit 2,Cooling 2 Alarm,Lockout Relay 2,Shiploader 3 Machine E-House HVAC Unit 2 Cooling 2 Alarm Lockout Relay 2,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,C,SL3,MEH,,PPU,1,,,LCP,1,SL3-MEH-PPU1-LCP1,Local Control Panel,Shiploader 3,Machine E-House,Pressurization Unit 1,Local Control Panel,,Shiploader 3 Machine E-House Pressurization Unit 1 Local Control Panel,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,C,SL3,MEH,,NCP,1,UPS,1,,,SL3-MEH-NCP1-UPS1,,Shiploader 3,Machine E-House,Network Control Panel,UPS1 Relay Out,UPS OK Status,Shiploader 3 Machine E-House Network Control Panel UPS1 Relay Out UPS OK Status,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
166,C,SL3,MEH,,NCP,1,UPS,2,,,SL3-MEH-NCP1-UPS2,,Shiploader 3,Machine E-House,Network Control Panel,UPS2 Relay Out,UPS OK Status,Shiploader 3 Machine E-House Network Control Panel UPS2 Relay Out UPS OK Status,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
167,C,SL3,MEH,,NCP,1,UPS,3,,,SL3-MEH-NCP1-UPS3,,Shiploader 3,Machine E-House,Network Control Panel,UPS3 Relay Out,UPS OK Status,Shiploader 3 Machine E-House Network Control Panel UPS3 Relay Out UPS OK Status,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,C,SL3,MEH,,FCP,1,,,CR,0,SL3-MEH-FCP1-CR0,,Shiploader 3,Machine E-House,Fire Alarm Panel,Fire Alarm,,Shiploader 3 Machine E-House Fire Alarm Panel Fire Alarm,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
170,C,SL3,MEH,,FCP,1,,,CR,1,SL3-MEH-FCP1-CR1,,Shiploader 3,Machine E-House,Fire Alarm Panel,System Trouble,,Shiploader 3 Machine E-House Fire Alarm Panel System Trouble,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
171,C,SL3,MEH,,FCP,1,,,CR,2,SL3-MEH-FCP1-CR2,,Shiploader 3,Machine E-House,Fire Alarm Panel,System Supervisory,,Shiploader 3 Machine E-House Fire Alarm Panel System Supervisory,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,C,SL3,MEH,,,,,,TIT,1,SL3-MEH-TIT1,Temperature Transmitter with Local Indicator ,Shiploader 3,Machine E-House,,,Temperature Transmitter,Shiploader 3 Machine E-House Temperature Transmitter,,SL3-MEH-ACP1,4-20 mA,QCA,Comet,T0110,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL3-MEH-TIT1?,SL3-MEH-ACP1,,,,,,,,
175,,,BH,,,,,,,,,,Shiploader 3,Boom Hoist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,A,SL3,BH,,,,,,ES,1,SL3-BH-ES1,E-Stop PB ,Shiploader 3,Boom Hoist,Maint. Cabin,Emergency Stop,Push Button 1,Shiploader 3 Boom Hoist Maint. Cabin Emergency Stop Push Button 1,,SL3-BH-RCP1,SI,QCA,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,,,,,,,,,,,,,,,AB 800H?,,,,,
177,A,SL3,BH,,,,,,ES,2,SL3-BH-ES2,E-Stop PB ,Shiploader 3,Boom Hoist,,Emergency Stop,Push Button 2,Shiploader 3 Boom Hoist Emergency Stop Push Button 2,,SL3-BH-RCP1,SI,QCA,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,,,,,,,,,,,,,,,AB 800H?,,,,,
178,D,SL3,BH,,,,,,ES,3,SL3-BH-ES3,E-Stop PB ,Shiploader 3,Boom Hoist,Remote Controller,Emergency Stop,Push Button 3,Shiploader 3 Boom Hoist Remote Controller Emergency Stop Push Button 3,,,SI,QCA,Cavotec,TBD,,,,,,,,,,,,,,,AB 800H?,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,A,SL3,BH,,,,,,ZLS,1,SL3-BH-ZLS1,Limit Switch ,Shiploader 3,Boom Hoist,Up Limit,Overtravel,Limit Switch,Shiploader 3 Boom Hoist Up Limit Overtravel Limit Switch,,SL3-BH-RCP1,SI,QCA,CCC,TA-2-TPS,,,,,,,,,,,Y,SL3-BH-RCP1,,,No Spec?,,,,,
181,A,SL3,BH,,,,,,ZLS,2,SL3-BH-ZLS2,Limit Switch ,Shiploader 3,Boom Hoist,Down Limit,Overtravel,Limit Switch,Shiploader 3 Boom Hoist Down Limit Overtravel Limit Switch,,SL3-BH-RCP1,SI,QCA,CCC,TA-2-TPS,,,,,,,,,,,Y,SL3-BH-RCP1,,,No Spec?,,,,,
182,A,SL3,BH,,,,,,ZPX,3,,Proximity Switch ,Shiploader 3,Boom Hoist,,Parking,Proximity Switch,,,,DI,QCA,Allen Bradley,871TM-B15N30-H2,,,,,,,,,,,"Y, ZLS5",SL3-BH-RCP1,,,Emerson GO?,,,,,
183,A,SL3,BH,,,,,,ZT,1,SL3-BH-ZT1,"Position Transmitter, Encoder ",Shiploader 3,Boom Hoist,Drum 1,,Absolute Encoder 1,Shiploader 3 Boom Hoist Drum 1 Absolute Encoder 1,,,Profinet/Ethernet,Alpine,Hubner,TBD,,,,,,,,,,,Y,SL3-BH-RCP1,,,G0AMH.M208EA2? Single Turn vs Multi Turn. 8EA2 is Ethernet interface,,,,,
184,A,SL3,BH,,,,,,SS,1,SL3-BH-SS1,Speed Switch,Shiploader 3,Boom Hoist,Drum 1,Overspeed,Safety Switch,Shiploader 3 Boom Hoist Drum 1 Overspeed Safety Switch,,,,Alpine,,TBD,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
185,C,SL3,BH,,,,,,ZPX,3,SL3-BH-ZPX3,Proximity Switch ,Shiploader 3,Boom Hoist,Drum 1,End of Travel Up,Proximity Switch,Shiploader 3 Boom Hoist Drum 1 End of Travel Up Proximity Switch,,,,Alpine,,TBD,,,,,,,,,,,"Y, ZLS3",SL3-BH-RCP1,,,Emerson GO?,,,,,
186,C,SL3,BH,,,,,,ZPX,4,SL3-BH-ZPX4,Proximity Switch ,Shiploader 3,Boom Hoist,Drum 1,End of Travel Down,Proximity Switch,Shiploader 3 Boom Hoist Drum 1 End of Travel Down Proximity Switch,,,,Alpine,,TBD,,,,,,,,,,,"Y, ZLS4",SL3-BH-RCP1,,,Emerson GO?,,,,,
187,A,SL3,BH,,,,,,ZT,2,SL3-BH-ZT2,"Position Transmitter, Encoder ",Shiploader 3,Boom Hoist,Drum 2,,Absolute Encoder 2,Shiploader 3 Boom Hoist Drum 2 Absolute Encoder 2,,,Profinet/Ethernet,Alpine,Hubner,TBD,,,,,,,,,,,Y,SL3-BH-RCP1,,,G0AMH.M208EA2? Single Turn vs Multi Turn. 8EA2 is Ethernet interface,,,,,
188,A,SL3,BH,,,,,,SS,2,SL3-BH-SS2,Speed Switch,Shiploader 3,Boom Hoist,Drum 2,Overspeed,Safety Switch,Shiploader 3 Boom Hoist Drum 2 Overspeed Safety Switch,,,,Alpine,,TBD,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
189,C,SL3,BH,,,,,,ZPX,5,SL3-BH-ZPX5,Proximity Switch ,Shiploader 3,Boom Hoist,Drum 2,End of Travel Up,Proximity Switch,Shiploader 3 Boom Hoist Drum 2 End of Travel Up Proximity Switch,,,,Alpine,,TBD,,,,,,,,,,,"Y, ZLS3",SL3-BH-RCP1,,,Emerson GO?,,,,,
190,C,SL3,BH,,,,,,ZPX,6,SL3-BH-ZPX6,Proximity Switch ,Shiploader 3,Boom Hoist,Drum 2,End of Travel Down,Proximity Switch,Shiploader 3 Boom Hoist Drum 2 End of Travel Down Proximity Switch,,,,Alpine,,TBD,,,,,,,,,,,"Y, ZLS4",SL3-BH-RCP1,,,Emerson GO?,,,,,
191,B,SL3,BH,,,,,,ZT,11,SL3-BH-ZT11,"Position Transmitter, Encoder ",Shiploader 3,Boom Hoist,Motor 1 ,,Incremental Encoder 1,Shiploader 3 Boom Hoist Motor 1  Incremental Encoder 1,,,Com,VENDOR,,,,,,,,,,,,,,,,,,,,,,
192,B,SL3,BH,,,,,,ZT,12,SL3-BH-ZT12,"Position Transmitter, Encoder ",Shiploader 3,Boom Hoist,Motor 2,,Incremental Encoder 2,Shiploader 3 Boom Hoist Motor 2 Incremental Encoder 2,,,Com,VENDOR,,,,,,,,,,,,,,,,,,,,,,
193,A,SL3,BH,,,,,,YA,1,SL3-BH-YA1,Warning Horn,Shiploader 3,Boom Hoist,,Start Warning,Horn,Shiploader 3 Boom Hoist Start Warning Horn,,SL3-BH-RCP1,DO,QCA,Federal Signal,350WB-120,,,,,,,,,,,Y,SL3-BH-RCP1,,,No Spec,,,,,
194,A,SL3,BH,,,,,,YL,1,SL3-BH-YL1,Warning Light,Shiploader 3,Boom Hoist,,Start Warning,Light,Shiploader 3 Boom Hoist Start Warning Light,,SL3-BH-RCP1,DO,QCA,Federal Signal,G-STR-120-D-R,,,,,,,,,,,Y,SL3-BH-RCP1,,,G-STR?,,,,,
195,A,SL3,BH,,,,,,YL,2,SL3-BH-YL2,Warning Light,Shiploader 3,Boom Hoist,Aircraft,Warning,Beacon,Shiploader 3 Boom Hoist Aircraft Warning Beacon,,SL3-BH-RCP1,DO,QCA,Point Lighting,POL-21007-1T-R-10B-D2.2,,,,,,,,,,,Y,SL3-BH-RCP1,,,G-STR?,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,A,SL3,BH,,,,M,1,HE,1,SL3-BH-M1-HE1,Heater ,Shiploader 3,Boom Hoist,Motor 1,Heater,,Shiploader 3 Boom Hoist Motor 1 Heater,,SL3-BH-RCP1,DO,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
198,A,SL3,BH,,,,M,2,HE,1,SL3-BH-M2-HE1,Heater ,Shiploader 3,Boom Hoist,Motor 2,Heater,,Shiploader 3 Boom Hoist Motor 2 Heater,,SL3-BH-RCP1,DO,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,C,SL3,BH,,,,M,1,TE,1,SL3-BH-M1-TE1,Temperature Element,Shiploader 3,Boom Hoist,Motor 1 Phase A,Winding Temperature,RTD 1,Shiploader 3 Boom Hoist Motor 1 Phase A Winding Temperature RTD 1,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
201,C,SL3,BH,,,,M,1,TE,2,SL3-BH-M1-TE2,Temperature Element,Shiploader 3,Boom Hoist,Motor 1 Phase A,Winding Temperature,RTD 2,Shiploader 3 Boom Hoist Motor 1 Phase A Winding Temperature RTD 2,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
202,C,SL3,BH,,,,M,1,TE,3,SL3-BH-M1-TE3,Temperature Element,Shiploader 3,Boom Hoist,Motor 1 Phase B,Winding Temperature,RTD 1,Shiploader 3 Boom Hoist Motor 1 Phase B Winding Temperature RTD 1,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
203,C,SL3,BH,,,,M,1,TE,4,SL3-BH-M1-TE4,Temperature Element,Shiploader 3,Boom Hoist,Motor 1 Phase B,Winding Temperature,RTD 2,Shiploader 3 Boom Hoist Motor 1 Phase B Winding Temperature RTD 2,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
204,C,SL3,BH,,,,M,1,TE,5,SL3-BH-M1-TE5,Temperature Element,Shiploader 3,Boom Hoist,Motor 1 Phase C,Winding Temperature,RTD 1,Shiploader 3 Boom Hoist Motor 1 Phase C Winding Temperature RTD 1,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
205,C,SL3,BH,,,,M,1,TE,6,SL3-BH-M1-TE6,Temperature Element,Shiploader 3,Boom Hoist,Motor 1 Phase C,Winding Temperature,RTD 2,Shiploader 3 Boom Hoist Motor 1 Phase C Winding Temperature RTD 2,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
206,C,SL3,BH,,,,M,1,TE,7,SL3-BH-M1-TE7,Temperature Element,Shiploader 3,Boom Hoist,Motor 1 Drive End,Bearing Temperature,RTD 1 ,Shiploader 3 Boom Hoist Motor 1 Drive End Bearing Temperature RTD 1 ,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
207,C,SL3,BH,,,,M,1,TE,8,SL3-BH-M1-TE8,Temperature Element,Shiploader 3,Boom Hoist,Motor 1 Non Drive End,Bearing Temperature,RTD 1,Shiploader 3 Boom Hoist Motor 1 Non Drive End Bearing Temperature RTD 1,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,C,SL3,BH,,,,M,2,TE,1,SL3-BH-M2-TE1,Temperature Element,Shiploader 3,Boom Hoist,Motor 2 Phase A,Winding Temperature,RTD 1,Shiploader 3 Boom Hoist Motor 2 Phase A Winding Temperature RTD 1,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
210,C,SL3,BH,,,,M,2,TE,2,SL3-BH-M2-TE2,Temperature Element,Shiploader 3,Boom Hoist,Motor 2 Phase A,Winding Temperature,RTD 2,Shiploader 3 Boom Hoist Motor 2 Phase A Winding Temperature RTD 2,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
211,C,SL3,BH,,,,M,2,TE,3,SL3-BH-M2-TE3,Temperature Element,Shiploader 3,Boom Hoist,Motor 2 Phase B,Winding Temperature,RTD 1,Shiploader 3 Boom Hoist Motor 2 Phase B Winding Temperature RTD 1,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
212,C,SL3,BH,,,,M,2,TE,4,SL3-BH-M2-TE4,Temperature Element,Shiploader 3,Boom Hoist,Motor 2 Phase B,Winding Temperature,RTD 2,Shiploader 3 Boom Hoist Motor 2 Phase B Winding Temperature RTD 2,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
213,C,SL3,BH,,,,M,2,TE,5,SL3-BH-M2-TE5,Temperature Element,Shiploader 3,Boom Hoist,Motor 2 Phase C,Winding Temperature,RTD 1,Shiploader 3 Boom Hoist Motor 2 Phase C Winding Temperature RTD 1,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
214,C,SL3,BH,,,,M,2,TE,6,SL3-BH-M2-TE6,Temperature Element,Shiploader 3,Boom Hoist,Motor 2 Phase C,Winding Temperature,RTD 2,Shiploader 3 Boom Hoist Motor 2 Phase C Winding Temperature RTD 2,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
215,C,SL3,BH,,,,M,2,TE,7,SL3-BH-M2-TE7,Temperature Element,Shiploader 3,Boom Hoist,Motor 2 Drive End,Bearing Temperature,RTD 1 ,Shiploader 3 Boom Hoist Motor 2 Drive End Bearing Temperature RTD 1 ,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
216,C,SL3,BH,,,,M,2,TE,8,SL3-BH-M2-TE8,Temperature Element,Shiploader 3,Boom Hoist,Motor 2 Non Drive End,Bearing Temperature,RTD 1,Shiploader 3 Boom Hoist Motor 2 Non Drive End Bearing Temperature RTD 1,,SL3-BH-RCP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,Baldor Reliance,09 > 31 Baldor > 150 HP Motor,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,A,SL3,BH,,,,M1-BK,1,ZPX,1,SL3-BH-M1-BK1-ZPX1,Proximity Switch ,Shiploader 3,Boom Hoist,Motor 1  Brake,Released,Proximity Switch,Shiploader 3 Boom Hoist Motor 1  Brake Released Proximity Switch,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
219,A,SL3,BH,,,,M1-BK,1,ZPX,2,,Proximity Switch ,Shiploader 3,Boom Hoist,Motor 1  Brake,Closed,Switch,,,,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
220,A,SL3,BH,,,,M1-BK,1,ZPX,2,SL3-BH-M1-BK1-ZPX2,Proximity Switch ,Shiploader 3,Boom Hoist,Motor 1  Brake,Wear Monitoring,Proximity Switch,Shiploader 3 Boom Hoist Motor 1  Brake Wear Monitoring Proximity Switch,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,C,SL3,BH,,,,GB,1,TT,1,SL3-BH-GB1-TT1,Temperature Transmitter,Shiploader 3,Boom Hoist,Gearbox 1,Oil,Temperature Transmitter,Shiploader 3 Boom Hoist Gearbox 1 Oil Temperature Transmitter,,SL3-BH-RCP1,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
223,C,SL3,BH,,,,GB,1,TT,2,SL3-BH-GB1-TT2,Temperature Transmitter,Shiploader 3,Boom Hoist,Gearbox 1,Oil,Temperature Transmitter 2,Shiploader 3 Boom Hoist Gearbox 1 Oil Temperature Transmitter 2,,,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
224,C,SL3,BH,,,,GB,1,ZPX,1,SL3-BH-GB1-ZPX1,Proximity Switch ,Shiploader 3,Boom Hoist,Gearbox 1,Low Oil Level,Proximity Switch,Shiploader 3 Boom Hoist Gearbox 1 Low Oil Level Proximity Switch,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
225,C,SL3,BH,,,,GB,1,LSLL,1,SL3-BH-GB1-LSLL1,Level Switch Low Trip,Shiploader 3,Boom Hoist,Gearbox 1,Low-Low Oil,Level Switch,Shiploader 3 Boom Hoist Gearbox 1 Low-Low Oil Level Switch,,,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,A,SL3,BH,,,,M2-BK,1,ZPX,1,SL3-BH-M2-BK1-ZPX1,Proximity Switch ,Shiploader 3,Boom Hoist,Motor 2 Brake,Released,Proximity Switch,Shiploader 3 Boom Hoist Motor 2 Brake Released Proximity Switch,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
228,A,SL3,BH,,,,M2-BK,1,ZPX,2,,Proximity Switch ,Shiploader 3,Boom Hoist,Motor 2 Brake,Closed,Proximity Switch,,,,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
229,A,SL3,BH,,,,M2-BK,1,ZPX,2,SL3-BH-M2-BK1-ZPX2,Proximity Switch ,Shiploader 3,Boom Hoist,Motor 2 Brake,Wear Monitoring,Proximity Switch,Shiploader 3 Boom Hoist Motor 2 Brake Wear Monitoring Proximity Switch,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,C,SL3,BH,,,,GB,2,TT,1,SL3-BH-GB2-TT1,Temperature Transmitter,Shiploader 3,Boom Hoist,Gearbox 2,Oil,Temperature Transmitter,Shiploader 3 Boom Hoist Gearbox 2 Oil Temperature Transmitter,,SL3-BH-RCP1,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
232,C,SL3,BH,,,,GB,2,TT,2,SL3-BH-GB2-TT2,Temperature Transmitter,Shiploader 3,Boom Hoist,Gearbox 2,Oil,Temperature Transmitter 2,Shiploader 3 Boom Hoist Gearbox 2 Oil Temperature Transmitter 2,,,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
233,C,SL3,BH,,,,GB,2,ZPX,1,SL3-BH-GB2-ZPX1,Proximity Switch ,Shiploader 3,Boom Hoist,Gearbox 2,Low Oil Level,Proximity Switch,Shiploader 3 Boom Hoist Gearbox 2 Low Oil Level Proximity Switch,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
234,C,SL3,BH,,,,GB,2,LSLL,1,SL3-BH-GB2-LSLL1,Level Switch Low Trip,Shiploader 3,Boom Hoist,Gearbox 2,Low-Low Oil,Level Switch,Shiploader 3 Boom Hoist Gearbox 2 Low-Low Oil Level Switch,,,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,C,SL3,BH,,HPU,1,,,LSLL,1,SL3-BH-HPU1-LSLL1,Level Switch Low Trip,Shiploader 3,Boom Hoist,Emergency Brake HPU 1,Low-Low Oil ,Level Switch,Shiploader 3 Boom Hoist Emergency Brake HPU 1 Low-Low Oil  Level Switch,,,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,Y,,,,,,,
237,C,SL3,BH,,HPU,1,,,LSL,1,SL3-BH-HPU1-LSL1,Level Switch Low Warning,Shiploader 3,Boom Hoist,Emergency Brake HPU 1,Low Oil,Level Switch,Shiploader 3 Boom Hoist Emergency Brake HPU 1 Low Oil Level Switch,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,Y,,,,,,,
238,C,SL3,BH,,HPU,1,,,TT,1,SL3-BH-HPU1-TT1,Temperature Transmitter,Shiploader 3,Boom Hoist,Emergency Brake HPU 1,Oil,Temperature Transmitter,Shiploader 3 Boom Hoist Emergency Brake HPU 1 Oil Temperature Transmitter,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,Y,,,,,,,
239,C,SL3,BH,,HPU,1,,,PSH,1,SL3-BH-HPU1-PSH1,Pressure Switch High Warning ,Shiploader 3,Boom Hoist,Emergency Brake HPU 1,High,Pressure Switch,Shiploader 3 Boom Hoist Emergency Brake HPU 1 High Pressure Switch,,SL3-BH-RCP1,DI,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,Y,,,,,,,
240,A,SL3,BH,,HPU,1,,,SV,1,SL3-BH-HPU1-SV1,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Hoist,Emergency Brake HPU 1,Brake Release,Valve 1,Shiploader 3 Boom Hoist Emergency Brake HPU 1 Brake Release Valve 1,,SL3-BH-RCP1,DO,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,Y,,,,,,,
241,A,SL3,BH,,HPU,1,,,SV,2,SL3-BH-HPU1-SV2,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Hoist,Emergency Brake HPU 1,Brake Release,Valve 2,Shiploader 3 Boom Hoist Emergency Brake HPU 1 Brake Release Valve 2,,SL3-BH-RCP1,DO,VENDOR,,,,,,,,,,,,,Y,SL3-BH-RCP1,Y,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
