PLC LOOK UP TABLES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC PANELS,,,,CARD,TYPE,SIGNAL,I/O,PREFIX,SUFFIX,,,,,,,,,,,,,,,,,,,,,,,,,,MMM,Machine Full Name,,SSS,System Full Name,,EEE,Equipment Full Name,,DDD,QCA Device Full Name,WESTSHORE Full Name,,,,,EEE Equipment Abbreviations,Equipment Name,,DDD Device Abbreviations,Device Name + Description
,,,,1756-DHRIO,DHRIO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB4 ,Substation 4 ,,MEH,Main Electrical House ,,PPU,Pressurization Unit,,NGR,Neutral Ground Resistor ,Neutral Ground Resistor ,24.0,SCRUBBER,,,HVAC,Heating Ventilation Air Conditioning Unit,,ZLS,"Position Switch, Limit Switch"
1492-IFM20F-F120A-2,,,,1756-IA16,DI,120V,16,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,,,,,SUB4A ,Substation 4A ,,WD,Washdown,,,,,OL,Over Load ,Over Load ,10.0,PSL,Pressure Switch Low,,FCP,Fire Alarm Control Panel,,ZPR,"Position Switch, Photocell Receiver"
1492-XIM20120-16R,,,,1756-OA16,DO,120V,16,O_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,,,,,SUB4B ,Substation 4B ,,TUS,Take-Up System,,,,,PB,Push Button ,Push Button ,12.0,CON,Control Relay,,TCP,Temperature Control Panel,,ZPE,"Position Switch, Photocell Emitter"
1492-AIFM16-F-3,,,,1756-IF16,AI,4-20mA,8,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,,,,,SUB5 ,Substation 5 ,,BCB,Boom Conveyor Bridge,,,,,PC,Pull Cord ,Pull Cord ,10.0,CLX,Controllogix Panel,,UPS,Uninterrupted Power Supply,,ZT,"Position Transmitter, Encoder"
3-Tier TB,,,,1756-IRT8I,RTD,0-5000,8,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,SUB6 ,Substation 6 ,,CSPT,Coal Spout,,,,,PE,Pressure Element ,Pressure Element ,17.0,HTC,Heat Trace Circuit,,NGR,Neutral Ground Resistor,,ZR,"Position Radar Scanner, Switch, Controller"
Fused TB,,,,1756-IF8I,AI,4-20mA,8,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,SL1 ,Ship Loader 1 ,,PD,Pivot Deck,,,,,PIT,Pressure Transmitter with Local Indicator ,Pressure Transmitter with Local Indicator ,42.0,HVAC,HVAC Unit,,DBR,Dynamic Braking Resistor,,SE,Speed Element
Fused TB/2-Tier TB,,,,1756-OF8I,AO,0-5000,8,O_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,SL3 ,Ship Loader 3 ,,B,Boom,,,,,PL,Pilot Light ,Pilot Light ,12.0,CONVEYOR,,,LCP,Light and Control Panel (Contains Local Operators + PLC IO),,ST,Speed Transmitter
1492-IFM20F-F24A-2,,,,1756-IB16,DI,24VDC,16,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,,,,,SL4 ,Ship Loader 4 ,,,,,,,,PSH,Pressure Switch High Warning ,Pressure Switch High Warning ,29.0,LCP,Lighting and Control Panel,,ESRP,Emergency Stop Relay Panel (Contains Local Operators + PLC IO) ,,SS,"Speed Switch, Zero Speed Switch, Prox SW"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR41 ,Stacker/Reclaimer 41 ,,,,,,,,PSHH,Pressure Switch High Trip ,Pressure Switch High Trip ,26.0,LCS,Local Control Station,,PJB,Power Junction Box,,LE,Level Element (Ultrasonic Sensor that needs Controller)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR42 ,Stacker/Reclaimer 42 ,,,,,,,,PSL,Pressure Switch Low Warning ,Pressure Switch Low Warning ,28.0,INDEXER,,,FOJB,Fiber Optic Junction Box,,LT,Level Transmitter (Ultrasonic that give 4-20mA output)
